
Valores Confirmados

Fecha;CAPITAL;;CUPRUM;;HABITAT;;MODELO;;PLANVITAL;;PROVIDA;;UNO
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2024-01-01;62.347,98;4883072824780;65.063,54;5906471557589;66.254,19;7263920164895;63.282,99;1647926195797;60.542,14;920767342760;64.815,75;4178158545738;65.507,08;220490415067
2024-01-02;61.884,74;4846245973208;64.558,15;5857358406331;65.773,73;7212794280243;62.808,93;1636077580629;60.115,16;917552778243;64.327,98;4143411088114;65.014,72;220570616128
2024-01-03;61.569,49;4822500306336;64.235,48;5828044818371;65.457,75;7180811561809;62.516,27;1629326504376;59.850,25;913939193421;64.010,50;4122978633932;64.714,97;219607689871
2024-01-04;61.316,94;4804768483933;63.965,13;5804896594176;65.207,68;7154279545196;62.274,20;1623350613286;59.617,67;910765751882;63.767,43;4107002946194;64.450,19;218763451773
2024-01-05;60.980,65;4781182937822;63.601,10;5773570933891;64.858,96;7121255436328;61.944,53;1615204468944;59.309,50;906254321904;63.417,37;4086947676503;64.127,86;217796560190
2024-01-06;60.980,65;4781182937822;63.601,10;5773570933891;64.858,96;7121255436328;61.944,53;1615204468944;59.309,50;906254321904;63.417,37;4086947676503;64.127,86;217796560190
2024-01-07;60.980,65;4781182937822;63.601,10;5773570933891;64.858,96;7121255436328;61.944,53;1615204468944;59.309,50;906254321904;63.417,37;4086947676503;64.127,86;217796560190
2024-01-08;61.383,97;4813572562416;64.020,10;5816356976003;65.293,70;7166959752019;62.343,03;1626143730462;59.718,34;912957354576;63.836,07;4114052520261;64.517,39;219223146546
2024-01-09;61.916,05;4854409274137;64.625,96;5872903254148;65.860,02;7227700280267;62.886,32;1640196235753;60.180,22;920488272202;64.437,87;4152974154341;65.042,62;220964467355
2024-01-10;62.417,45;4894721590349;65.210,00;5927146032975;66.428,39;7289849374188;63.442,67;1655357929214;60.737,50;929158347383;64.994,93;4189258512676;65.605,07;222937665579
2024-01-11;62.662,41;4915657471751;65.477,56;5952631865186;66.706,54;7320328866498;63.701,43;1663050543446;60.988,69;933717008387;65.266,14;4209596928260;65.838,18;223901805580
2024-01-12;62.275,32;4896898235995;65.057,77;5926378163135;66.296,73;7293309464432;63.306,76;1654985243899;60.614,06;929678609778;64.866,36;4192185412934;65.417,27;222818453375
2024-01-13;62.275,32;4896898235995;65.057,77;5926378163135;66.296,73;7293309464432;63.306,76;1654985243899;60.614,06;929678609778;64.866,36;4192185412934;65.417,27;222818453375
2024-01-14;62.275,32;4896898235995;65.057,77;5926378163135;66.296,73;7293309464432;63.306,76;1654985243899;60.614,06;929678609778;64.866,36;4192185412934;65.417,27;222818453375
2024-01-15;62.231,27;4917004354498;65.014,63;5936099288135;66.264,45;7306916318359;63.259,40;1657724883241;60.540,89;940172878567;64.853,13;4192383853545;65.366,37;225162446380
2024-01-16;62.304,33;4942504474836;65.102,96;5955260330382;66.371,94;7335661379534;63.343,46;1665052470209;60.616,68;943775525978;64.960,54;4206479171142;65.459,22;226274421519
2024-01-17;62.321,67;4954422841228;65.161,88;5967218748107;66.422,44;7352752995291;63.385,21;1670014243625;60.695,62;947606833583;64.995,32;4214241796707;65.465,60;227117526747
2024-01-18;61.871,09;4931602653533;64.692,99;5929909651489;65.952,79;7309731776649;62.909,40;1661590550550;60.271,04;943048622799;64.539,25;4190051245658;64.975,55;226341582255
2024-01-19;61.634,90;4918180090133;64.463,71;5913878778500;65.678,09;7283260706423;62.676,67;1656613977242;60.022,66;939739396562;64.291,07;4172947972160;64.736,57;225762699794
2024-01-20;61.634,90;4918180090133;64.463,71;5913878778500;65.678,09;7283260706423;62.676,67;1656613977242;60.022,66;939739396562;64.291,07;4172947972160;64.736,57;225762699794
2024-01-21;61.634,90;4918180090133;64.463,71;5913878778500;65.678,09;7283260706423;62.676,67;1656613977242;60.022,66;939739396562;64.291,07;4172947972160;64.736,57;225762699794
2024-01-22;61.453,17;4906705383043;64.252,49;5895321301137;65.480,82;7262841190153;62.491,36;1652300667452;59.846,49;937438358775;64.072,26;4154070267268;64.572,18;225276625360
2024-01-23;61.169,28;4879969824034;63.987,22;5862559338896;65.206,74;7219964942087;62.211,35;1644641016797;59.584,02;933168002517;63.816,43;4135147347580;64.295,76;224104447257
2024-01-24;61.502,90;4901193559777;64.326,93;5891197009335;65.531,21;7255145677918;62.532,83;1653055262136;59.893,63;938145145015;64.115,23;4154813984563;64.651,97;225280838307
2024-01-25;61.909,28;4937086639770;64.740,88;5931122841836;65.943,92;7302616624857;62.956,88;1664550784198;60.285,11;944442385914;64.516,13;4181215085872;65.093,07;226979112883
2024-01-26;62.178,02;4963093513286;65.018,22;5959843131111;66.219,49;7335814571080;63.237,43;1672504592437;60.533,01;948566535420;64.783,50;4203664690932;65.382,75;228190957134
2024-01-27;62.178,02;4963093513286;65.018,22;5959843131111;66.219,49;7335814571080;63.237,43;1672504592437;60.533,01;948566535420;64.783,50;4203664690932;65.382,75;228190957134
2024-01-28;62.178,02;4963093513286;65.018,22;5959843131111;66.219,49;7335814571080;63.237,43;1672504592437;60.533,01;948566535420;64.783,50;4203664690932;65.382,75;228190957134
2024-01-29;62.482,71;4989916992230;65.339,95;5993966681824;66.565,12;7376461491580;63.542,69;1681533612775;60.828,88;953388291152;65.104,74;4227203294732;65.704,24;229384512554
2024-01-30;63.187,74;5049609134768;66.080,62;6065289712140;67.335,78;7465870598257;64.280,22;1701747523458;61.504,27;964668456206;65.843,89;4276968718840;66.435,06;232214020522
